State,State 2017 Formal Volunteering Rate,State 2019 Formal Volunteering Rate,State 2021 Formal Volunteering Rate,State 2017 Organizational Membership Rate,State 2019 Organizational Membership Rate,State 2021 Organizational Membership Rate,State 2017 Charitable Giving Rate,State 2019 Charitable Giving Rate,State 2021 Charitable Giving Rate,State 2017 Informal Helping Rate,State 2019 Informal Helping Rate,State 2021 Informal Helping Rate,State 2017 Talking with Friends and Family Rate,State 2019 Talking with Friends and Family Rate,State 2021 Talking with Friends and Family Rate,State 2017 Talking with Neighbors Rate,State 2019 Talking with Neighbors Rate,State 2021 Talking with Neighbors Rate,State 2017 Learning About Issues Rate,State 2019 Learning About Issues Rate,State 2021 Learning About Issues Rate,State 2017 Discussing Issues with Friends and Family Rate,State 2019 Discussing Issues with Friends and Family Rate,State 2021 Discussing Issues with Friends and Family Rate,State 2017 Discussing Issues with Neighbors Rate,State 2019 Discussing Issues with Neighbors Rate,State 2021 Discussing Issues with Neighbors Rate,State 2017 Posting Views Online Rate,State 2019 Posting Views Online Rate,State 2021 Posting Views Online Rate,State 2017 Voting in Local Elections Rate,State 2019 Voting in Local Elections Rate,State 2021 Voting in Local Elections Rate,State 2017 Contacting Public Officials Rate,State 2019 Contacting Public Officials Rate,State 2021 Contacting Public Officials Rate,State 2017 Donating to a Political Cause Rate,State 2019 Donating to a Political Cause Rate,State 2021 Donating to a Political Cause Rate,State 2017 Attending Public Meetings Rate,State 2019 Attending Public Meetings Rate,State 2021 Attending Public Meetings Rate,State 2017 Taking Action with Neighbors Rate,State 2019 Taking Action with Neighbors Rate,State 2021 Taking Action with Neighbors Rate,State 2017 Buycotting or Boycotting Rate,State 2019 Buycotting or Boycotting Rate,State 2021 Buycotting or Boycotting Rate,State 2021 Employer Promotes Volunteering Rate
AL,0.274,0.258,0.195,0.221,0.229,0.184,0.499,0.51,0.401,0.474,0.498,0.464,0.984,0.978,0.979,0.766,0.712,0.688,0.877,0.824,0.748,0.701,0.648,0.677,0.322,0.3,0.316,0.196,0.208,0.18,0.556,0.624,0.5,0.073,0.089,0.079,0.046,0.066,0.052,0.073,0.09,0.079,0.182,0.164,0.159,0.069,0.105,0.095,0.347
AK,0.406,0.355,0.273,0.368,0.315,0.257,0.549,0.502,0.477,0.508,0.563,0.55,0.984,0.982,0.989,0.705,0.717,0.665,0.874,0.877,0.847,0.78,0.731,0.761,0.339,0.336,0.329,0.26,0.268,0.191,0.651,0.656,0.672,0.217,0.165,0.165,0.102,0.086,0.11,0.167,0.166,0.142,0.245,0.265,0.207,0.218,0.165,0.192,0.332
AZ,0.3,0.262,0.235,0.254,0.24,0.229,0.52,0.466,0.485,0.472,0.469,0.466,0.972,0.982,0.98,0.649,0.663,0.648,0.849,0.848,0.878,0.698,0.682,0.688,0.25,0.223,0.256,0.254,0.215,0.187,0.528,0.51,0.59,0.113,0.079,0.089,0.074,0.067,0.082,0.066,0.087,0.058,0.156,0.175,0.156,0.159,0.174,0.193,0.405
AR,0.3,0.297,0.209,0.286,0.299,0.231,0.489,0.543,0.524,0.498,0.498,0.507,0.96,0.984,0.983,0.717,0.675,0.65,0.876,0.836,0.842,0.706,0.664,0.687,0.3,0.261,0.268,0.236,0.194,0.222,0.499,0.479,0.455,0.132,0.103,0.096,0.061,0.078,0.06,0.09,0.116,0.068,0.17,0.196,0.144,0.137,0.142,0.166,0.36
CA,0.254,0.249,0.183,0.225,0.23,0.183,0.47,0.441,0.39,0.462,0.457,0.461,0.971,0.952,0.949,0.69,0.65,0.64,0.838,0.795,0.807,0.678,0.661,0.655,0.282,0.268,0.272,0.231,0.187,0.228,0.487,0.489,0.584,0.092,0.078,0.077,0.089,0.086,0.101,0.105,0.099,0.082,0.179,0.178,0.152,0.137,0.145,0.156,0.29
CO,0.324,0.422,0.262,0.256,0.334,0.274,0.555,0.65,0.555,0.613,0.636,0.589,0.984,0.994,0.964,0.76,0.801,0.707,0.897,0.92,0.833,0.768,0.813,0.736,0.342,0.349,0.363,0.207,0.23,0.236,0.602,0.659,0.72,0.143,0.114,0.129,0.127,0.142,0.107,0.111,0.145,0.122,0.213,0.253,0.207,0.154,0.237,0.266,0.328
CT,0.318,0.314,0.288,0.263,0.326,0.224,0.53,0.546,0.615,0.476,0.505,0.502,0.98,0.991,0.975,0.733,0.799,0.707,0.836,0.849,0.895,0.717,0.673,0.782,0.367,0.361,0.302,0.228,0.172,0.198,0.514,0.534,0.569,0.122,0.127,0.101,0.09,0.091,0.135,0.118,0.133,0.097,0.181,0.242,0.202,0.149,0.162,0.202,0.407
DE,0.318,0.307,0.298,0.286,0.323,0.309,0.615,0.556,0.493,0.578,0.658,0.639,0.941,0.967,0.946,0.801,0.727,0.781,0.87,0.906,0.852,0.697,0.727,0.722,0.343,0.335,0.348,0.218,0.214,0.297,0.532,0.582,0.403,0.114,0.109,0.102,0.124,0.077,0.075,0.123,0.104,0.088,0.244,0.277,0.234,0.112,0.17,0.161,0.432
DC,0.398,0.392,0.342,0.381,0.37,0.355,0.561,0.523,0.614,0.457,0.485,0.527,0.967,0.987,0.985,0.751,0.751,0.723,0.918,0.901,0.93,0.848,0.853,0.891,0.47,0.456,0.495,0.358,0.247,0.338,0.641,0.666,0.785,0.208,0.175,0.166,0.236,0.184,0.279,0.145,0.146,0.142,0.313,0.321,0.275,0.308,0.291,0.362,0.498
FL,0.228,0.242,0.159,0.192,0.21,0.178,0.432,0.414,0.368,0.509,0.469,0.446,0.954,0.96,0.932,0.752,0.675,0.642,0.814,0.771,0.765,0.635,0.62,0.628,0.313,0.273,0.279,0.184,0.183,0.202,0.497,0.534,0.544,0.084,0.076,0.07,0.074,0.08,0.083,0.085,0.088,0.066,0.236,0.178,0.155,0.11,0.1,0.108,0.292
GA,0.265,0.282,0.199,0.209,0.22,0.224,0.46,0.481,0.46,0.434,0.451,0.408,0.97,0.961,0.936,0.666,0.639,0.58,0.839,0.801,0.793,0.711,0.673,0.675,0.303,0.287,0.284,0.221,0.177,0.185,0.495,0.536,0.549,0.083,0.092,0.096,0.083,0.073,0.098,0.101,0.105,0.082,0.173,0.183,0.145,0.123,0.129,0.144,0.332
HI,0.28,0.321,0.197,0.244,0.271,0.228,0.505,0.492,0.45,0.446,0.441,0.435,0.953,0.965,0.963,0.724,0.655,0.645,0.85,0.859,0.872,0.651,0.674,0.699,0.314,0.284,0.277,0.202,0.16,0.137,0.486,0.512,0.589,0.11,0.092,0.077,0.073,0.055,0.067,0.1,0.108,0.068,0.197,0.176,0.125,0.115,0.109,0.106,0.337
ID,0.379,0.345,0.282,0.341,0.324,0.274,0.555,0.53,0.57,0.611,0.575,0.543,0.972,0.95,0.948,0.779,0.706,0.652,0.882,0.81,0.819,0.762,0.65,0.7,0.371,0.289,0.299,0.276,0.18,0.218,0.502,0.475,0.558,0.141,0.113,0.155,0.109,0.107,0.119,0.128,0.114,0.131,0.298,0.234,0.213,0.161,0.156,0.228,0.335
IL,0.281,0.33,0.283,0.268,0.317,0.296,0.551,0.566,0.561,0.498,0.573,0.556,0.982,0.981,0.979,0.765,0.763,0.747,0.889,0.902,0.908,0.758,0.729,0.735,0.354,0.326,0.315,0.218,0.201,0.179,0.552,0.562,0.547,0.132,0.113,0.116,0.078,0.077,0.103,0.128,0.131,0.093,0.217,0.242,0.203,0.142,0.175,0.182,0.448
IN,0.349,0.34,0.276,0.343,0.327,0.294,0.545,0.506,0.522,0.525,0.553,0.522,0.976,0.96,0.987,0.754,0.714,0.717,0.913,0.831,0.833,0.729,0.686,0.695,0.318,0.28,0.294,0.261,0.199,0.212,0.568,0.487,0.622,0.13,0.104,0.105,0.095,0.058,0.081,0.115,0.096,0.083,0.185,0.183,0.173,0.122,0.158,0.178,0.407
IA,0.415,0.331,0.299,0.363,0.318,0.287,0.535,0.535,0.582,0.567,0.566,0.603,0.981,0.979,0.953,0.776,0.732,0.757,0.905,0.912,0.886,0.737,0.666,0.725,0.332,0.286,0.344,0.244,0.177,0.265,0.414,0.561,0.551,0.168,0.124,0.116,0.068,0.064,0.084,0.134,0.116,0.115,0.249,0.224,0.2,0.155,0.141,0.179,0.45
KS,0.365,0.34,0.315,0.325,0.353,0.334,0.651,0.599,0.54,0.541,0.586,0.576,0.988,0.979,0.964,0.782,0.75,0.659,0.881,0.869,0.81,0.722,0.681,0.742,0.306,0.267,0.31,0.199,0.201,0.217,0.519,0.516,0.519,0.133,0.132,0.119,0.098,0.083,0.102,0.119,0.114,0.084,0.245,0.207,0.155,0.162,0.19,0.19,0.393
KY,0.281,0.262,0.226,0.258,0.223,0.201,0.509,0.45,0.447,0.512,0.53,0.511,0.976,0.95,0.966,0.749,0.731,0.71,0.864,0.764,0.838,0.699,0.597,0.708,0.329,0.301,0.304,0.217,0.191,0.213,0.596,0.538,0.661,0.114,0.099,0.09,0.056,0.064,0.055,0.092,0.074,0.059,0.159,0.177,0.127,0.119,0.119,0.159,0.371
LA,0.258,0.278,0.219,0.219,0.241,0.196,0.453,0.5,0.418,0.504,0.525,0.534,0.97,0.972,0.959,0.727,0.717,0.704,0.826,0.8,0.792,0.646,0.627,0.634,0.322,0.291,0.321,0.184,0.155,0.149,0.595,0.646,0.595,0.097,0.103,0.091,0.052,0.081,0.066,0.077,0.082,0.057,0.186,0.2,0.201,0.096,0.088,0.126,0.305
ME,0.387,0.357,0.349,0.342,0.33,0.387,0.556,0.542,0.53,0.568,0.621,0.65,0.993,0.984,0.976,0.793,0.752,0.764,0.943,0.866,0.894,0.839,0.762,0.788,0.413,0.349,0.385,0.246,0.248,0.212,0.63,0.606,0.615,0.222,0.162,0.174,0.128,0.092,0.104,0.191,0.184,0.191,0.272,0.245,0.233,0.193,0.185,0.251,0.398
MD,0.363,0.34,0.237,0.328,0.316,0.252,0.583,0.593,0.474,0.52,0.567,0.493,0.969,0.979,0.938,0.754,0.754,0.697,0.887,0.878,0.819,0.799,0.793,0.748,0.359,0.347,0.331,0.256,0.193,0.218,0.6,0.612,0.534,0.143,0.113,0.113,0.122,0.072,0.11,0.123,0.141,0.075,0.245,0.287,0.193,0.209,0.194,0.212,0.474
MA,0.326,0.307,0.231,0.305,0.279,0.252,0.58,0.526,0.539,0.55,0.56,0.526,0.982,0.982,0.97,0.806,0.731,0.692,0.931,0.865,0.878,0.754,0.671,0.731,0.335,0.298,0.339,0.184,0.172,0.199,0.522,0.539,0.526,0.148,0.105,0.119,0.129,0.094,0.149,0.156,0.124,0.109,0.223,0.226,0.196,0.166,0.171,0.23,0.351
MI,0.294,0.302,0.244,0.287,0.31,0.274,0.493,0.469,0.516,0.577,0.558,0.561,0.98,0.968,0.976,0.774,0.707,0.715,0.867,0.8,0.867,0.707,0.662,0.712,0.303,0.291,0.301,0.188,0.173,0.194,0.525,0.566,0.562,0.12,0.1,0.105,0.063,0.07,0.089,0.105,0.117,0.096,0.196,0.202,0.192,0.145,0.139,0.177,0.419
MN,0.451,0.401,0.355,0.359,0.341,0.335,0.647,0.602,0.618,0.613,0.623,0.619,0.984,0.99,0.988,0.837,0.826,0.788,0.916,0.894,0.919,0.789,0.788,0.784,0.408,0.397,0.405,0.222,0.179,0.238,0.667,0.594,0.652,0.187,0.145,0.117,0.112,0.093,0.129,0.129,0.135,0.097,0.241,0.297,0.261,0.209,0.187,0.225,0.402
MS,0.238,0.26,0.212,0.196,0.216,0.209,0.464,0.414,0.409,0.483,0.474,0.48,0.959,0.975,0.955,0.742,0.677,0.699,0.816,0.787,0.797,0.693,0.64,0.665,0.399,0.328,0.323,0.187,0.182,0.202,0.568,0.573,0.605,0.088,0.072,0.075,0.046,0.057,0.055,0.084,0.078,0.077,0.184,0.201,0.181,0.063,0.08,0.086,0.35
MO,0.319,0.365,0.305,0.293,0.306,0.283,0.552,0.539,0.55,0.555,0.523,0.542,0.981,0.982,0.973,0.779,0.731,0.725,0.892,0.84,0.843,0.775,0.673,0.712,0.395,0.269,0.285,0.247,0.239,0.203,0.516,0.551,0.525,0.128,0.137,0.095,0.092,0.079,0.07,0.121,0.122,0.07,0.222,0.221,0.163,0.154,0.177,0.182,0.408
MT,0.388,0.374,0.311,0.357,0.352,0.29,0.535,0.546,0.567,0.672,0.65,0.688,0.984,0.976,0.975,0.842,0.788,0.801,0.927,0.891,0.875,0.817,0.777,0.785,0.447,0.368,0.366,0.259,0.221,0.215,0.655,0.637,0.681,0.197,0.168,0.187,0.1,0.116,0.108,0.159,0.131,0.124,0.281,0.249,0.225,0.223,0.205,0.276,0.338
NE,0.402,0.435,0.339,0.365,0.395,0.322,0.588,0.612,0.611,0.545,0.613,0.664,0.976,0.983,0.984,0.793,0.765,0.786,0.873,0.872,0.883,0.743,0.716,0.795,0.372,0.297,0.381,0.209,0.186,0.217,0.63,0.54,0.684,0.161,0.141,0.157,0.067,0.072,0.056,0.138,0.106,0.109,0.295,0.224,0.235,0.164,0.193,0.241,0.456
NV,0.244,0.218,0.168,0.229,0.174,0.21,0.456,0.374,0.413,0.432,0.445,0.367,0.963,0.97,0.953,0.657,0.646,0.596,0.844,0.798,0.802,0.674,0.746,0.705,0.248,0.272,0.211,0.195,0.199,0.245,0.401,0.446,0.535,0.102,0.08,0.102,0.074,0.038,0.096,0.09,0.077,0.065,0.134,0.165,0.13,0.117,0.138,0.167,0.322
NH,0.357,0.322,0.279,0.315,0.332,0.294,0.656,0.596,0.594,0.543,0.585,0.524,0.989,0.997,0.967,0.76,0.709,0.676,0.903,0.872,0.843,0.751,0.738,0.759,0.347,0.301,0.339,0.174,0.187,0.178,0.535,0.551,0.537,0.166,0.117,0.12,0.102,0.081,0.088,0.161,0.185,0.119,0.231,0.274,0.212,0.144,0.178,0.209,0.394
NJ,0.261,0.261,0.199,0.252,0.265,0.18,0.558,0.544,0.511,0.494,0.489,0.47,0.975,0.943,0.952,0.788,0.674,0.679,0.886,0.796,0.804,0.725,0.627,0.642,0.376,0.291,0.298,0.217,0.157,0.191,0.488,0.564,0.508,0.093,0.094,0.065,0.085,0.082,0.078,0.117,0.097,0.063,0.2,0.211,0.209,0.115,0.135,0.116,0.365
NM,0.271,0.277,0.197,0.22,0.263,0.203,0.441,0.427,0.443,0.441,0.475,0.462,0.976,0.968,0.982,0.696,0.637,0.609,0.866,0.786,0.837,0.653,0.664,0.66,0.269,0.286,0.248,0.201,0.206,0.207,0.491,0.54,0.544,0.122,0.108,0.091,0.095,0.104,0.125,0.123,0.107,0.082,0.153,0.193,0.136,0.128,0.168,0.208,0.346
NY,0.253,0.227,0.217,0.258,0.22,0.24,0.484,0.454,0.477,0.453,0.446,0.451,0.967,0.976,0.962,0.739,0.671,0.677,0.855,0.847,0.862,0.722,0.68,0.705,0.362,0.279,0.328,0.239,0.184,0.2,0.451,0.516,0.557,0.107,0.072,0.102,0.133,0.082,0.124,0.122,0.088,0.086,0.21,0.184,0.204,0.111,0.119,0.174,0.302
NC,0.351,0.304,0.228,0.322,0.261,0.248,0.547,0.499,0.476,0.537,0.487,0.484,0.973,0.967,0.977,0.748,0.675,0.689,0.883,0.815,0.816,0.731,0.641,0.694,0.346,0.276,0.304,0.196,0.144,0.183,0.594,0.494,0.593,0.109,0.083,0.066,0.078,0.063,0.069,0.1,0.081,0.062,0.249,0.22,0.196,0.144,0.104,0.161,0.372
ND,0.374,0.329,0.269,0.397,0.307,0.323,0.626,0.581,0.567,0.652,0.576,0.503,0.98,0.979,0.959,0.832,0.777,0.688,0.904,0.883,0.843,0.772,0.705,0.688,0.429,0.286,0.312,0.213,0.194,0.213,0.581,0.574,0.63,0.146,0.108,0.113,0.071,0.084,0.088,0.14,0.116,0.084,0.255,0.237,0.182,0.156,0.124,0.137,0.383
OH,0.332,0.371,0.243,0.322,0.293,0.267,0.593,0.55,0.471,0.574,0.574,0.548,0.993,0.99,0.963,0.775,0.729,0.707,0.892,0.872,0.834,0.718,0.7,0.685,0.305,0.259,0.284,0.203,0.184,0.227,0.605,0.584,0.525,0.121,0.109,0.095,0.088,0.074,0.082,0.093,0.101,0.07,0.208,0.217,0.168,0.137,0.174,0.174,0.357
OK,0.32,0.276,0.236,0.294,0.258,0.21,0.538,0.458,0.465,0.505,0.469,0.522,0.97,0.969,0.973,0.721,0.644,0.649,0.87,0.826,0.768,0.677,0.63,0.626,0.28,0.221,0.222,0.185,0.221,0.169,0.449,0.453,0.47,0.127,0.094,0.108,0.083,0.074,0.072,0.109,0.078,0.071,0.191,0.182,0.165,0.127,0.141,0.149,0.338
OR,0.432,0.37,0.28,0.431,0.352,0.327,0.622,0.611,0.574,0.619,0.597,0.577,0.989,0.983,0.989,0.846,0.776,0.735,0.938,0.903,0.877,0.802,0.755,0.771,0.398,0.296,0.34,0.286,0.184,0.203,0.631,0.616,0.719,0.213,0.131,0.13,0.158,0.102,0.149,0.175,0.107,0.102,0.327,0.245,0.203,0.287,0.246,0.337,0.393
PA,0.342,0.358,0.256,0.334,0.362,0.302,0.598,0.595,0.519,0.589,0.592,0.601,0.988,0.989,0.984,0.804,0.778,0.778,0.916,0.915,0.855,0.715,0.715,0.72,0.337,0.304,0.324,0.186,0.203,0.219,0.541,0.577,0.562,0.128,0.14,0.109,0.074,0.098,0.1,0.099,0.108,0.083,0.221,0.227,0.2,0.157,0.196,0.2,0.37
RI,0.307,0.256,0.201,0.287,0.258,0.27,0.606,0.602,0.544,0.538,0.555,0.528,0.984,0.997,0.944,0.78,0.749,0.721,0.882,0.851,0.907,0.69,0.678,0.746,0.301,0.271,0.358,0.196,0.183,0.242,0.525,0.609,0.548,0.175,0.136,0.125,0.088,0.105,0.091,0.157,0.157,0.096,0.163,0.204,0.151,0.135,0.163,0.202,0.364
SC,0.308,0.313,0.218,0.266,0.343,0.222,0.518,0.54,0.515,0.526,0.624,0.564,0.972,0.98,0.968,0.783,0.798,0.75,0.873,0.872,0.83,0.73,0.704,0.704,0.333,0.344,0.381,0.185,0.16,0.225,0.512,0.519,0.583,0.096,0.104,0.105,0.058,0.083,0.134,0.099,0.118,0.091,0.247,0.228,0.232,0.12,0.131,0.176,0.406
SD,0.363,0.469,0.342,0.332,0.401,0.347,0.522,0.663,0.558,0.579,0.671,0.599,0.974,0.998,0.961,0.785,0.823,0.751,0.861,0.885,0.873,0.732,0.741,0.693,0.333,0.364,0.286,0.18,0.219,0.225,0.44,0.578,0.533,0.108,0.142,0.142,0.082,0.064,0.093,0.129,0.177,0.113,0.247,0.314,0.281,0.098,0.139,0.181,0.475
TN,0.313,0.317,0.238,0.274,0.284,0.203,0.568,0.536,0.47,0.495,0.456,0.543,0.982,0.978,0.968,0.713,0.703,0.707,0.9,0.842,0.814,0.705,0.655,0.639,0.299,0.279,0.294,0.18,0.197,0.218,0.491,0.527,0.577,0.105,0.097,0.1,0.088,0.093,0.086,0.073,0.095,0.073,0.191,0.194,0.168,0.13,0.139,0.147,0.379
TX,0.284,0.264,0.213,0.229,0.207,0.188,0.493,0.453,0.455,0.473,0.474,0.486,0.977,0.979,0.96,0.715,0.653,0.648,0.855,0.814,0.825,0.704,0.667,0.651,0.289,0.268,0.249,0.232,0.176,0.222,0.44,0.42,0.487,0.075,0.068,0.066,0.069,0.07,0.071,0.086,0.079,0.065,0.192,0.167,0.152,0.104,0.097,0.127,0.338
UT,0.51,0.495,0.407,0.42,0.407,0.335,0.669,0.657,0.53,0.704,0.678,0.616,0.978,0.969,0.969,0.845,0.781,0.775,0.881,0.865,0.819,0.786,0.704,0.744,0.459,0.386,0.348,0.259,0.248,0.226,0.493,0.577,0.561,0.154,0.136,0.127,0.075,0.075,0.073,0.156,0.168,0.096,0.396,0.449,0.358,0.162,0.194,0.151,0.385
VT,0.36,0.374,0.291,0.333,0.389,0.327,0.536,0.54,0.5,0.58,0.602,0.639,0.974,0.981,0.972,0.807,0.78,0.779,0.886,0.871,0.882,0.76,0.685,0.715,0.394,0.357,0.415,0.25,0.202,0.217,0.655,0.629,0.705,0.216,0.208,0.185,0.156,0.147,0.151,0.193,0.237,0.174,0.258,0.37,0.318,0.226,0.231,0.252,0.34
VA,0.34,0.354,0.272,0.275,0.303,0.288,0.525,0.559,0.548,0.497,0.481,0.497,0.961,0.987,0.967,0.751,0.696,0.729,0.868,0.885,0.844,0.714,0.709,0.744,0.323,0.313,0.33,0.192,0.225,0.169,0.484,0.508,0.583,0.124,0.09,0.079,0.075,0.089,0.088,0.098,0.089,0.086,0.183,0.208,0.181,0.146,0.148,0.173,0.372
WA,0.357,0.338,0.25,0.313,0.284,0.25,0.557,0.548,0.551,0.564,0.593,0.553,0.987,0.994,0.975,0.823,0.764,0.706,0.922,0.918,0.891,0.778,0.756,0.749,0.354,0.309,0.319,0.253,0.226,0.232,0.602,0.619,0.582,0.165,0.13,0.12,0.113,0.095,0.141,0.109,0.125,0.097,0.247,0.224,0.174,0.206,0.224,0.277,0.347
WV,0.281,0.306,0.224,0.233,0.265,0.236,0.484,0.48,0.462,0.581,0.602,0.605,0.979,0.991,0.974,0.772,0.773,0.746,0.822,0.797,0.841,0.622,0.64,0.636,0.291,0.283,0.341,0.176,0.237,0.191,0.509,0.443,0.496,0.112,0.094,0.093,0.059,0.042,0.055,0.09,0.091,0.054,0.255,0.234,0.185,0.101,0.094,0.131,0.31
WI,0.374,0.375,0.249,0.358,0.336,0.279,0.571,0.588,0.525,0.596,0.609,0.584,0.994,0.983,0.988,0.813,0.765,0.794,0.918,0.892,0.867,0.761,0.715,0.747,0.381,0.338,0.355,0.222,0.23,0.222,0.566,0.611,0.514,0.13,0.151,0.128,0.086,0.082,0.069,0.114,0.127,0.1,0.197,0.179,0.179,0.191,0.206,0.228,0.37
WY,0.327,0.31,0.392,0.298,0.338,0.36,0.472,0.492,0.522,0.54,0.523,0.585,0.974,0.982,0.98,0.772,0.697,0.748,0.914,0.887,0.883,0.75,0.731,0.794,0.327,0.294,0.398,0.248,0.291,0.262,0.597,0.582,0.658,0.168,0.181,0.182,0.064,0.068,0.089,0.166,0.168,0.161,0.197,0.235,0.294,0.155,0.201,0.258,0.375
